estado,quantidade de alunos,Natureza,Humanas,Linguagens,Matematica,Redacao,x,y,Geral
SP,877617,499.22,564.31,528.51,499.86,511.01,5,5,520.58
MG,673384,496.11,559.72,518.18,495.21,492.49,5,4,512.34
BA,440307,473.09,538.43,497.56,454.50,451.40,6,3.5,483.00
RJ,417761,494.21,563.74,525.12,493.05,514.15,6,4.5,518.05
CE,397079,471.43,531.06,495.41,458.94,449.38,5,2,481.24
DF,103360,493.47,559.97,520.34,483.81,490.44,4,2.5,509.61
RS,311067,489.03,557.77,518.25,483.91,482.25,4,6.5,506.24
PI,143393,469.39,528.52,489.70,448.86,422.09,5,3,471.71
MS,97545,477.02,540.93,497.39,462.47,442.11,4,4.5,483.98
PR,277352,493.63,559.01,516.36,488.21,487.72,6,5.5,508.99
GO,182251,484.79,544.99,505.01,468.40,458.40,4,3.5,492.32
AC,46636,457.48,524.97,478.69,432.75,412.11,1,2,461.20
PE,306712,474.82,539.68,502.10,462.94,458.70,6,2.5,487.65
MA,216248,462.36,526.68,485.72,441.24,425.73,4,1.5,468.35
AL,105273,468.12,529.74,489.10,449.77,449.48,8,2.5,477.24
PA,303882,468.12,533.51,489.32,442.69,446.49,3,1,476.03
MT,115366,471.89,532.53,489.72,453.36,433.06,3,3,476.11
ES,111432,492.54,555.51,513.31,490.14,474.79,7,4,505.26
AM,109999,461.75,529.27,484.95,441.91,451.13,2,1.5,473.80
RO,71307,469.27,533.42,487.35,448.48,412.31,2,2.5,470.17
PB,170162,473.79,537.71,499.49,459.28,460.34,7,2,486.12
AP,44217,462.25,528.49,486.34,435.37,444.16,4,0.5,471.32
RN,149647,476.14,541.62,502.34,466.13,466.76,6,1.5,490.60
SC,120256,497.77,561.54,519.30,496.20,504.21,5,6,515.80
RR,17165,465.28,527.66,483.78,443.24,440.86,2,0.5,472.16
TO,47008,465.93,526.41,486.07,447.58,413.95,3,2,467.99
SE,91317,472.37,532.51,491.18,452.86,440.19,7,3,477.82
