estado;x;y;;;;;;;;;*dx;*dy
al;656;455;;;;;;;;;8;2,5
pb;582;410;;;;;;;;;7;2
sg;582;500;;;;;;;;;7;3
es;582;590;;;;;;;;;7;4
rn;508;365;;;;;;;;;6;1,5
pe;508;455;;;;;;;;;6;2,5
ba;508;545;;;;;;;;;6;3,5
rj;508;635;;;;;;;;;6;4,5
pa;508;725;;;;;;;;;6;5,5
ce;434;410;;;;;;;;;5;2
pi;434;500;;;;;;;;;5;3
mg;434;590;;;;;;dy = 90;;;5;4
sp;434;680;;;;;;dx = 74;;;5;5
rs;434;770;;;;;;;;;5;6
ap;360;275;;;;;;;;;4;0,5
ma;360;365;;;;;;;;;4;1,5
df;360;455;;;;;;;;;4;2,5
go;360;545;;;;;;;;;4;3,5
ms;360;635;;;;;;;;;4;4,5
sc;360;725;;;;;;;;;4;5,5
pa;286;320;;;;;;;;;3;1
to;286;410;;;;;;;;;3;2
mt;286;500;;;;;;;;;3;3
rr;212;275;;;;;;;;;2;0,5
am;212;365;;;;;;;;;2;1,5
ro;212;455;;;;;;;;;2;2,5
ac;138;410;;;;;;;;;1;2
